source,WASHng
demandMatrix-abilene-zhang-5min-20040301-0000.txt,607.7031160000001
demandMatrix-abilene-zhang-5min-20040301-0005.txt,633.968155
demandMatrix-abilene-zhang-5min-20040301-0010.txt,642.618763
demandMatrix-abilene-zhang-5min-20040301-0015.txt,647.9404099999999
demandMatrix-abilene-zhang-5min-20040301-0020.txt,652.508482
demandMatrix-abilene-zhang-5min-20040301-0025.txt,568.6513070000001
demandMatrix-abilene-zhang-5min-20040301-0030.txt,559.800133
demandMatrix-abilene-zhang-5min-20040301-0035.txt,566.017582
demandMatrix-abilene-zhang-5min-20040301-0040.txt,535.573389
demandMatrix-abilene-zhang-5min-20040301-0045.txt,572.9752919999999
demandMatrix-abilene-zhang-5min-20040301-0050.txt,599.283003
demandMatrix-abilene-zhang-5min-20040301-0055.txt,587.417124
demandMatrix-abilene-zhang-5min-20040301-0100.txt,604.06145
demandMatrix-abilene-zhang-5min-20040301-0105.txt,651.596724
demandMatrix-abilene-zhang-5min-20040301-0110.txt,663.627382
demandMatrix-abilene-zhang-5min-20040301-0115.txt,644.4474940000001
demandMatrix-abilene-zhang-5min-20040301-0120.txt,641.820511
demandMatrix-abilene-zhang-5min-20040301-0125.txt,623.910428
demandMatrix-abilene-zhang-5min-20040301-0130.txt,587.5986959999999
demandMatrix-abilene-zhang-5min-20040301-0135.txt,603.87238
demandMatrix-abilene-zhang-5min-20040301-0140.txt,643.7657330000001
demandMatrix-abilene-zhang-5min-20040301-0145.txt,624.222899
demandMatrix-abilene-zhang-5min-20040301-0150.txt,641.6373050000001
demandMatrix-abilene-zhang-5min-20040301-0155.txt,617.541744
demandMatrix-abilene-zhang-5min-20040301-0200.txt,602.837532
demandMatrix-abilene-zhang-5min-20040301-0205.txt,651.192945
demandMatrix-abilene-zhang-5min-20040301-0210.txt,640.894413
demandMatrix-abilene-zhang-5min-20040301-0215.txt,643.6716420000001
demandMatrix-abilene-zhang-5min-20040301-0220.txt,674.5575400000001
demandMatrix-abilene-zhang-5min-20040301-0225.txt,616.6073500000001
demandMatrix-abilene-zhang-5min-20040301-0230.txt,601.1839659999999
demandMatrix-abilene-zhang-5min-20040301-0235.txt,616.1348889999999
demandMatrix-abilene-zhang-5min-20040301-0240.txt,631.4280210000001
demandMatrix-abilene-zhang-5min-20040301-0245.txt,600.677723
demandMatrix-abilene-zhang-5min-20040301-0250.txt,667.506163
demandMatrix-abilene-zhang-5min-20040301-0255.txt,627.622449
demandMatrix-abilene-zhang-5min-20040301-0300.txt,628.101296
demandMatrix-abilene-zhang-5min-20040301-0305.txt,579.10511
demandMatrix-abilene-zhang-5min-20040301-0310.txt,615.653143
demandMatrix-abilene-zhang-5min-20040301-0315.txt,616.7982920000001
demandMatrix-abilene-zhang-5min-20040301-0320.txt,656.0220099999999
demandMatrix-abilene-zhang-5min-20040301-0325.txt,608.5614299999999
demandMatrix-abilene-zhang-5min-20040301-0330.txt,598.701672
demandMatrix-abilene-zhang-5min-20040301-0335.txt,606.650719
demandMatrix-abilene-zhang-5min-20040301-0340.txt,610.875794
demandMatrix-abilene-zhang-5min-20040301-0345.txt,656.1475169999999
demandMatrix-abilene-zhang-5min-20040301-0350.txt,632.4220230000001
demandMatrix-abilene-zhang-5min-20040301-0355.txt,619.3157249999999
demandMatrix-abilene-zhang-5min-20040301-0400.txt,625.397275
demandMatrix-abilene-zhang-5min-20040301-0405.txt,648.561601
demandMatrix-abilene-zhang-5min-20040301-0410.txt,640.302649
demandMatrix-abilene-zhang-5min-20040301-0415.txt,649.354544
demandMatrix-abilene-zhang-5min-20040301-0420.txt,641.9075320000001
demandMatrix-abilene-zhang-5min-20040301-0425.txt,624.2822369999999
demandMatrix-abilene-zhang-5min-20040301-0430.txt,613.155882
demandMatrix-abilene-zhang-5min-20040301-0435.txt,680.2193940000001
demandMatrix-abilene-zhang-5min-20040301-0440.txt,716.5506949999999
demandMatrix-abilene-zhang-5min-20040301-0445.txt,693.688568
demandMatrix-abilene-zhang-5min-20040301-0450.txt,629.4627929999999
demandMatrix-abilene-zhang-5min-20040301-0455.txt,627.2269210000001
demandMatrix-abilene-zhang-5min-20040301-0500.txt,579.8699050000001
demandMatrix-abilene-zhang-5min-20040301-0505.txt,601.1483549999999
demandMatrix-abilene-zhang-5min-20040301-0510.txt,598.862727
demandMatrix-abilene-zhang-5min-20040301-0515.txt,584.61437
demandMatrix-abilene-zhang-5min-20040301-0520.txt,575.0532259999999
demandMatrix-abilene-zhang-5min-20040301-0525.txt,593.28315
demandMatrix-abilene-zhang-5min-20040301-0530.txt,582.7143590000001
demandMatrix-abilene-zhang-5min-20040301-0535.txt,588.5906440000002
demandMatrix-abilene-zhang-5min-20040301-0540.txt,635.1559440000001
demandMatrix-abilene-zhang-5min-20040301-0545.txt,620.626823
demandMatrix-abilene-zhang-5min-20040301-0550.txt,581.416323
demandMatrix-abilene-zhang-5min-20040301-0555.txt,567.641939
demandMatrix-abilene-zhang-5min-20040301-0600.txt,562.1595160000002
demandMatrix-abilene-zhang-5min-20040301-0605.txt,566.09776
demandMatrix-abilene-zhang-5min-20040301-0610.txt,600.001172
demandMatrix-abilene-zhang-5min-20040301-0615.txt,589.452273
demandMatrix-abilene-zhang-5min-20040301-0620.txt,567.7380909999999
demandMatrix-abilene-zhang-5min-20040301-0625.txt,560.075591
demandMatrix-abilene-zhang-5min-20040301-0630.txt,593.462743
demandMatrix-abilene-zhang-5min-20040301-0635.txt,611.532461
demandMatrix-abilene-zhang-5min-20040301-0640.txt,635.547074
demandMatrix-abilene-zhang-5min-20040301-0645.txt,643.232578
demandMatrix-abilene-zhang-5min-20040301-0650.txt,614.5539010000001
demandMatrix-abilene-zhang-5min-20040301-0655.txt,610.3723729999999
demandMatrix-abilene-zhang-5min-20040301-0700.txt,640.6254649999998
demandMatrix-abilene-zhang-5min-20040301-0705.txt,654.3575649999999
demandMatrix-abilene-zhang-5min-20040301-0710.txt,636.653585
demandMatrix-abilene-zhang-5min-20040301-0715.txt,623.8054799999999
demandMatrix-abilene-zhang-5min-20040301-0720.txt,647.161969
demandMatrix-abilene-zhang-5min-20040301-0725.txt,610.777603
demandMatrix-abilene-zhang-5min-20040301-0730.txt,627.0190729999999
demandMatrix-abilene-zhang-5min-20040301-0735.txt,662.219756
demandMatrix-abilene-zhang-5min-20040301-0740.txt,651.71152
demandMatrix-abilene-zhang-5min-20040301-0745.txt,631.70522
demandMatrix-abilene-zhang-5min-20040301-0750.txt,630.3047520000001
demandMatrix-abilene-zhang-5min-20040301-0755.txt,594.542955
demandMatrix-abilene-zhang-5min-20040301-0800.txt,616.013197
demandMatrix-abilene-zhang-5min-20040301-0805.txt,628.674006
demandMatrix-abilene-zhang-5min-20040301-0810.txt,609.148009
demandMatrix-abilene-zhang-5min-20040301-0815.txt,599.835611
