source,STTLng
demandMatrix-abilene-zhang-5min-20040301-1640.txt,211.54133900000002
demandMatrix-abilene-zhang-5min-20040301-1645.txt,212.23533999999998
demandMatrix-abilene-zhang-5min-20040301-1650.txt,225.374462
demandMatrix-abilene-zhang-5min-20040301-1655.txt,228.319681
demandMatrix-abilene-zhang-5min-20040301-1700.txt,230.89220999999995
demandMatrix-abilene-zhang-5min-20040301-1705.txt,248.01169199999998
demandMatrix-abilene-zhang-5min-20040301-1710.txt,254.30159999999998
demandMatrix-abilene-zhang-5min-20040301-1715.txt,237.736602
demandMatrix-abilene-zhang-5min-20040301-1720.txt,246.54627299999999
demandMatrix-abilene-zhang-5min-20040301-1725.txt,261.950155
demandMatrix-abilene-zhang-5min-20040301-1730.txt,258.808726
demandMatrix-abilene-zhang-5min-20040301-1735.txt,247.48395499999998
demandMatrix-abilene-zhang-5min-20040301-1740.txt,240.099087
demandMatrix-abilene-zhang-5min-20040301-1745.txt,234.29662900000002
demandMatrix-abilene-zhang-5min-20040301-1750.txt,230.53269599999996
demandMatrix-abilene-zhang-5min-20040301-1755.txt,240.62513099999998
demandMatrix-abilene-zhang-5min-20040301-1800.txt,240.48766300000003
demandMatrix-abilene-zhang-5min-20040301-1805.txt,244.410342
demandMatrix-abilene-zhang-5min-20040301-1810.txt,240.011119
demandMatrix-abilene-zhang-5min-20040301-1815.txt,242.716199
demandMatrix-abilene-zhang-5min-20040301-1820.txt,242.55921500000002
demandMatrix-abilene-zhang-5min-20040301-1825.txt,248.16320000000002
demandMatrix-abilene-zhang-5min-20040301-1830.txt,260.05543500000005
demandMatrix-abilene-zhang-5min-20040301-1835.txt,268.268693
demandMatrix-abilene-zhang-5min-20040301-1840.txt,263.8847
demandMatrix-abilene-zhang-5min-20040301-1845.txt,252.95166700000001
demandMatrix-abilene-zhang-5min-20040301-1850.txt,249.66481499999998
demandMatrix-abilene-zhang-5min-20040301-1855.txt,267.820584
demandMatrix-abilene-zhang-5min-20040301-1900.txt,264.593928
demandMatrix-abilene-zhang-5min-20040301-1905.txt,264.22826100000003
demandMatrix-abilene-zhang-5min-20040301-1910.txt,266.013434
demandMatrix-abilene-zhang-5min-20040301-1915.txt,265.332424
demandMatrix-abilene-zhang-5min-20040301-1920.txt,264.003897
demandMatrix-abilene-zhang-5min-20040301-1925.txt,276.598186
demandMatrix-abilene-zhang-5min-20040301-1930.txt,288.447562
demandMatrix-abilene-zhang-5min-20040301-1935.txt,288.828179
demandMatrix-abilene-zhang-5min-20040301-1940.txt,280.09137799999996
demandMatrix-abilene-zhang-5min-20040301-1945.txt,285.99195999999995
demandMatrix-abilene-zhang-5min-20040301-1950.txt,286.326667
demandMatrix-abilene-zhang-5min-20040301-1955.txt,281.92105499999997
demandMatrix-abilene-zhang-5min-20040301-2000.txt,301.741307
demandMatrix-abilene-zhang-5min-20040301-2005.txt,300.50783
demandMatrix-abilene-zhang-5min-20040301-2010.txt,283.870098
demandMatrix-abilene-zhang-5min-20040301-2015.txt,275.86335999999994
demandMatrix-abilene-zhang-5min-20040301-2020.txt,270.547515
demandMatrix-abilene-zhang-5min-20040301-2025.txt,263.675949
demandMatrix-abilene-zhang-5min-20040301-2030.txt,260.3689
demandMatrix-abilene-zhang-5min-20040301-2035.txt,261.635374
demandMatrix-abilene-zhang-5min-20040301-2040.txt,251.318132
demandMatrix-abilene-zhang-5min-20040301-2045.txt,254.736955
demandMatrix-abilene-zhang-5min-20040301-2050.txt,247.08349600000003
demandMatrix-abilene-zhang-5min-20040301-2055.txt,240.84938899999997
demandMatrix-abilene-zhang-5min-20040301-2100.txt,236.81724199999996
demandMatrix-abilene-zhang-5min-20040301-2105.txt,241.149852
demandMatrix-abilene-zhang-5min-20040301-2110.txt,236.19006299999998
demandMatrix-abilene-zhang-5min-20040301-2115.txt,226.15908199999998
demandMatrix-abilene-zhang-5min-20040301-2120.txt,239.390113
demandMatrix-abilene-zhang-5min-20040301-2125.txt,243.60277100000002
demandMatrix-abilene-zhang-5min-20040301-2130.txt,256.065447
demandMatrix-abilene-zhang-5min-20040301-2135.txt,245.30464800000001
demandMatrix-abilene-zhang-5min-20040301-2140.txt,242.34138699999997
demandMatrix-abilene-zhang-5min-20040301-2145.txt,243.379956
demandMatrix-abilene-zhang-5min-20040301-2150.txt,233.44448399999996
demandMatrix-abilene-zhang-5min-20040301-2155.txt,241.288208
demandMatrix-abilene-zhang-5min-20040301-2200.txt,244.85578
demandMatrix-abilene-zhang-5min-20040301-2205.txt,253.014368
demandMatrix-abilene-zhang-5min-20040301-2210.txt,246.70516199999997
demandMatrix-abilene-zhang-5min-20040301-2215.txt,248.813539
