source,LOSAng
demandMatrix-abilene-zhang-5min-20040308-1525.txt,377.1730109999999
demandMatrix-abilene-zhang-5min-20040308-1530.txt,386.018108
demandMatrix-abilene-zhang-5min-20040308-1535.txt,388.910099
demandMatrix-abilene-zhang-5min-20040308-1540.txt,422.236848
demandMatrix-abilene-zhang-5min-20040308-1545.txt,416.071336
demandMatrix-abilene-zhang-5min-20040308-1550.txt,417.68896400000006
demandMatrix-abilene-zhang-5min-20040308-1555.txt,405.61205700000005
demandMatrix-abilene-zhang-5min-20040308-1600.txt,416.983633
demandMatrix-abilene-zhang-5min-20040308-1605.txt,461.58912
demandMatrix-abilene-zhang-5min-20040308-1610.txt,475.30149299999994
demandMatrix-abilene-zhang-5min-20040308-1615.txt,481.77930100000003
demandMatrix-abilene-zhang-5min-20040308-1620.txt,465.832552
demandMatrix-abilene-zhang-5min-20040308-1625.txt,473.231586
demandMatrix-abilene-zhang-5min-20040308-1630.txt,459.91185700000005
demandMatrix-abilene-zhang-5min-20040308-1635.txt,464.558579
demandMatrix-abilene-zhang-5min-20040308-1640.txt,473.452857
demandMatrix-abilene-zhang-5min-20040308-1645.txt,504.475149
demandMatrix-abilene-zhang-5min-20040308-1650.txt,471.8984029999999
demandMatrix-abilene-zhang-5min-20040308-1655.txt,496.40896399999997
demandMatrix-abilene-zhang-5min-20040308-1700.txt,506.369943
demandMatrix-abilene-zhang-5min-20040308-1705.txt,513.543801
demandMatrix-abilene-zhang-5min-20040308-1710.txt,505.336632
demandMatrix-abilene-zhang-5min-20040308-1715.txt,473.756855
demandMatrix-abilene-zhang-5min-20040308-1720.txt,496.115392
demandMatrix-abilene-zhang-5min-20040308-1725.txt,476.77405699999997
demandMatrix-abilene-zhang-5min-20040308-1730.txt,466.844327
demandMatrix-abilene-zhang-5min-20040308-1735.txt,484.688308
demandMatrix-abilene-zhang-5min-20040308-1740.txt,456.377812
demandMatrix-abilene-zhang-5min-20040308-1745.txt,501.919096
demandMatrix-abilene-zhang-5min-20040308-1750.txt,499.6876060000001
demandMatrix-abilene-zhang-5min-20040308-1755.txt,476.61429100000004
demandMatrix-abilene-zhang-5min-20040308-1800.txt,484.309912
demandMatrix-abilene-zhang-5min-20040308-1805.txt,468.775748
demandMatrix-abilene-zhang-5min-20040308-1810.txt,499.87139599999995
demandMatrix-abilene-zhang-5min-20040308-1815.txt,484.1895549999999
demandMatrix-abilene-zhang-5min-20040308-1820.txt,463.332872
demandMatrix-abilene-zhang-5min-20040308-1825.txt,470.651745
demandMatrix-abilene-zhang-5min-20040308-1830.txt,484.53939
demandMatrix-abilene-zhang-5min-20040308-1835.txt,483.489172
demandMatrix-abilene-zhang-5min-20040308-1840.txt,490.43128
demandMatrix-abilene-zhang-5min-20040308-1845.txt,487.107481
demandMatrix-abilene-zhang-5min-20040308-1850.txt,482.23989199999994
demandMatrix-abilene-zhang-5min-20040308-1855.txt,458.30260499999997
demandMatrix-abilene-zhang-5min-20040308-1900.txt,470.458185
demandMatrix-abilene-zhang-5min-20040308-1905.txt,487.71823699999993
demandMatrix-abilene-zhang-5min-20040308-1910.txt,525.229068
demandMatrix-abilene-zhang-5min-20040308-1915.txt,521.139134
